Category,ID,Name,Subsystem,Implementation_Status,Technical_Specification,Gate_or_Risk,Evidence_or_Falsifier
Quick_Wins,QW-01,Canonical Pack-Selectable Benchmark Entrypoint,vanguard/packages/runtime/lab_driver.py,IMPLEMENTED,Consolidate benchmark invocation behind stable CLI/API: vg benchmark run --pack PACK --task TASK --model MODEL,Low Risk: Dual entrypoints cause drift,Identity-equivalent trajectory through CLI and Python app service
Quick_Wins,QW-02,Synthetic Evidence Separation,vanguard/packages/domain/evidence/,IMPLEMENTED,Strict separation of aether.simulation-report/1 and aether.empirical-benchmark/1 schemas,Critical Risk: Mock metrics look empirical,Rejection of synthetic mock models in empirical evidence reports
Quick_Wins,QW-03,Composable Web Research Capability,vanguard/packages/ports/environment.py,PLANNED,web.search and web.fetch behind existing port boundary with strict domain allowlists and SSRF guards,Medium Risk: Egress leaks and SSRF,Research V2 completes web tasks; local-only researcher fails closed
Quick_Wins,QW-04,IndexPort-Backed Code Intelligence,vanguard/packages/ports/index.py,IN_PROGRESS,"Tree-sitter AST symbol maps, definitions, callers, and compressed repository maps via IndexPort",Medium Risk: Scope expansion,>40% token reduction vs lexical grep; high symbol retrieval precision
Quick_Wins,QW-05,DeepSeek Protocol Normalization,vanguard/packages/agency/episode/protocol_recovery.py,IMPLEMENTED,"Provider-specific stream normalizer, DSML parser, and JSON repair in model adapter boundary",Medium Risk: Parser hallucination,Reproduces failing payload hermetically; normalizes valid recoverable cases
Quick_Wins,QW-06,Approval-Loop Efficiency & Signed Grants,vanguard/packages/runtime/governance/approvals.py,IMPLEMENTED,Pre-authorized Ed25519 execution grants for workspace-scoped test/write commands,Medium Risk: Policy bypass,Zero wasted model turns on repetitive approval choreography
Quick_Wins,QW-07,Unified Benchmark Identity Envelope,vanguard/packages/domain/evidence/envelope.py,IMPLEMENTED,"aether.evidence/1 binding framework, manifest, task, patch, trajectory, oracle digests cryptographically",Low Risk: Cross-subject contamination,Cold process independently verifies every SHA-256 digest in envelope
Quick_Wins,QW-08,Honest Cost & Token Telemetry,vanguard/packages/kernel/budget.py,IMPLEMENTED,"Tri-state cost model (provider_reported, registry_estimated, unknown) with pessimistic reservation",Critical Risk: Zero-cost assumption,Unknown cost halts paid calls or reserves ceiling; pricing updates are immutable
Quick_Wins,QW-09,Context Compaction Invariants,vanguard/packages/agency/context/compaction.py,IMPLEMENTED,"StructuredConsolidateStrategy preserving tool IDs, args digest, active constraints, dead-ends",High Risk: Provider 400 rejection,Reconstructed long-horizon conversation accepted by provider without turn loss
Quick_Wins,QW-10,Benchmark Validity Preflight,vanguard/packages/domain/evidence/preregistration.py,IMPLEMENTED,Automated PASS_TO_PASS and FAIL_TO_PASS verification before scoring,Critical Risk: Contaminated tasks,"Task validity classified as VALID, INVALID, or UNDETERMINABLE before runs"
Quick_Wins,QW-11,Anti-Thrashing State Breaker,vanguard/packages/agency/episode/protocol_recovery.py,IN_PROGRESS,"State-hash FSM H(tool, args, state_digest); triggers REPLAN on repeated identical failure",Low Risk: Premature termination,Repeated failing actions abort with DOOM_LOOP reason and dead-end memory
Quick_Wins,QW-12,Exterior Container Bridge,vanguard/packages/adapters/sandbox/rootless.py,IMPLEMENTED,Rootless Bubblewrap sandbox (UID 10001) + Evaluator daemon (UID 10002) passing pure unified diffs,Medium Risk: Nested isolation mismatch,Hidden test suites strictly exterior to worker namespace; timeout kills descendants
Tri_Substrate,TS-01,Core Implementation Language & Philosophy,Architecture,Vanguard: Python 3.10+ Hexagonal TCB | LEX: Rust Tokio Swarm | LIM: Python Algorithmic Lab,TCB soundness vs low-latency concurrency vs formal verification,Verified boundary isolation and test determinism across all substrates
Tri_Substrate,TS-02,Dispatch Pipeline Formalism,Kernel / Scheduler,Vanguard: S0-S12 13-stage TCB Pipeline | LEX: TaskGraph IR | LIM: Direct Turn Loop,Monotonic attenuation vs zero-overhead DAG vs interactive loop,TCB budget <=1438 LOC in Vanguard; sub-2ms turn latency in LEX
Tri_Substrate,TS-03,Sandboxing Architecture,Environment,Vanguard: Bubblewrap UID 10001 + Evaluator UID 10002 | LEX: 3-Tier bwrap/unshare/AST | LIM: Subprocess AST Interceptor,Process namespace isolation vs hardware sandboxing,"Zero egress leaks, rootless privilege isolation, deterministic cleanup"
Tri_Substrate,TS-04,Fault Localization Strategy,Intelligence / Index,Vanguard: Lexical Grep + IndexPort | LEX: Tree-sitter PageRank | LIM: SBFL Ochiai / DStar / Tarantula,Precision vs context consumption,Ochiai suspiciousness ranking isolates defective statements with >80% accuracy
Tri_Substrate,TS-05,Verification & Falsification Engine,Assurance,Vanguard: Exterior Ed25519 Signed Oracles | LEX: Multi-Operator Mutation Testing | LIM: CEGIS + Concolic Fuzzing,Test collusion vs formal proof,Syntactic mutants falsify ungrounded test suites; SMT solver proves post-conditions
Tri_Substrate,TS-06,Speculative Search & Rollback,Execution Control,Vanguard: Ledger Event Sourcing Replay | LEX: Git Worktree CoW | LIM: MCTS Speculative Git Checkpoints,Corrupted workspace vs atomic rollback,Automated Git rollback on severe test regression; dead ends recorded in memory
Tri_Substrate,TS-07,Context Cache Discipline,Context Compiler,Vanguard: L1-L5 Radix Compiler | LEX: Token-Budget Ledger | LIM: Radix L1-L5 Cache Control,Provider cache invalidation vs prompt stability,80-90% prompt cache hit rates on multi-turn Claude/DeepSeek sessions
Tri_Substrate,TS-08,Wire Contract & Evidence Ledger,Persistence,Vanguard: SQLite WAL + JCS RFC 8785 | LEX: AgentExecutionEnv JSON-RPC | LIM: RunReceipt Ledger,Auditability vs replay fidelity,Exact cryptographic reproduction of execution state from append-only events
SOTA_Pillars,PIL-01,Pluggable AgentLoop Microkernel (Cordis Pattern),vanguard/packages/agency/episode/,IN_PROGRESS,"Promote EpisodeEngine to egalitarian AgentLoop protocol allowing hot-swapping ReAct, Plan-Execute, MCTS",High Impact: Hardcoded loop limits cognitive architectures,Manifests declare custom loop engines; kernel contracts remain untouched
SOTA_Pillars,PIL-02,Append-Only Event Store & Pure Context Projections,vanguard/packages/runtime/ledger_emitter.py,IMPLEMENTED,SQLite WAL ledger as sole source of truth; context window derived via pure function messages = derive(events),Critical Impact: Mutable message arrays cause state drift,"Deterministic session replay, time-travel debugging, zero cache corruption"
SOTA_Pillars,PIL-03,Stateful Interactive PTY ShellPort,vanguard/packages/ports/environment.py,PLANNED,"Persistent pseudo-terminal inside Bubblewrap; supports incremental streaming, sub-200ms SIGINT, paged output",High Impact: One-shot exec loses environment and cwd,"Interactive tools (REPL, pagers, long builds) executed safely in sandbox"
SOTA_Pillars,PIL-04,Instantaneous AST Syntax Pre-Flight Gates (<0.2ms),vanguard/packages/adapters/bindings/code.py,IN_PROGRESS,In-process AST validation intercepting patches before execution; returns syntax errors without LLM turn cost,High Impact: Expensive turns wasted on trivial syntax errors,Zero turn penalty on malformed patch; instant line-level compiler feedback
SOTA_Pillars,PIL-05,SBFL Fault Localization & AST PageRank via IndexPort,vanguard/packages/ports/index.py,PLANNED,Ochiai suspiciousness scoring on test failures + AST call graph PageRank; annotates prompt with top-5 bug sites,High Impact: Lexical grep exhausts context on large repos,Token consumption for localization reduced by >50%; higher first-patch fix rate
SOTA_Pillars,PIL-06,Speculative Git Checkpoint Engine & Worktree Sandboxing,vanguard/packages/adapters/environment/git.py,IN_PROGRESS,In-memory Git checkpoints before edits; automatic rollback on test regression and dead-ends recording,High Impact: Flawed edits leave corrupted intermediate repo states,Clean workspace restoration; dead-end branches avoided during subsequent turns
SOTA_Pillars,PIL-07,AST Mutation Verification & Anti-Collusion Engine,vanguard/packages/adapters/evaluators/,PLANNED,Port LIM mutation verifier to inject AST mutants into candidate code and prove test suite sensitivity,High Impact: Agent writes no-op assertions that pass falsely,Ungrounded test suites detected and rejected; verified behavioral delta required
SOTA_Pillars,PIL-08,Deterministic Anti-Thrashing State-Hash FSM,vanguard/packages/agency/episode/,IN_PROGRESS,"Action signature hashing H(tool, args, state_digest); triggers ERR_THRASHING_LOOP and replanning on duplicates",High Impact: Infinite doom loops on cheap models,Execution halted after 2 duplicate failing actions; prompt injected with dead-end context
SOTA_Pillars,PIL-09,Radix L1-L5 Prefix Cache Alignment & Structured Compactor,vanguard/packages/agency/context/,IMPLEMENTED,"5-layer context hierarchy (L1 System, L2 Repo Map, L3 Task Brief, L4 Memory, L5 Evictable Dialogue)",Critical Impact: Cache prefix invalidation multiplies cost,>80% cache hit rate maintained across 30+ turn sessions
SOTA_Pillars,PIL-10,Cryptographic Identity Envelope & Telemetry Dashboard,vanguard/packages/domain/evidence/envelope.py,IMPLEMENTED,"aether.evidence/1 Ed25519-signed envelope binding code, task, patch, trajectory, verifier digests + SVG/HTML UI",Critical Impact: Dispersed metadata prevents independent audit,Producer cannot self-sign acceptance; verifier recomputes exact subject proofs
CLI_Products,CLI-01,vg-code (Autonomous SWE Solver),vanguard/packages/packs/code-default,IMPLEMENTED,Autonomous bug fixing: Ingestion -> SBFL Localization -> Reproducer -> Patch -> Regression Verification,Core Product: High accuracy on coding benchmarks,Generates verifiable patch + signed evidence receipt on SWE-bench tasks
CLI_Products,CLI-02,vg-swarm (Tiered Multi-Model Swarm),vanguard/packages/agency/spawn.py,IN_PROGRESS,High-throughput swarm: Architect (DeepSeek/Opus) plans -> Coder/Tester (Qwen/Haiku) execute concurrently,Cost/Speed: VRAM drain scheduling between models,Parallel execution in isolated workspaces merged via sandboxed CoW diff
CLI_Products,CLI-03,vg-fuzz / vg-verifier (Formal CEGIS & SMT Falsifier),vanguard/packages/ports/evaluator.py,PLANNED,Provable correctness: SMT spec -> CEGIS candidate synthesis -> Concolic path fuzzing -> Proof receipt,"High Assurance: Cryptography, consensus, parsers",UNSAT verification proof or concrete counterexample trace produced
CLI_Products,CLI-04,vg-refactor (Causal Slicing & Large-Scale Modernizer),vanguard/packages/ports/index.py,PLANNED,Architectural migration: AST call graph -> Causal slicing -> Stepwise atomic migration plan -> Surgical patch,Maintenance: Dead-code elimination and framework upgrades,Multi-file atomic refactoring with zero test regression
CLI_Products,CLI-05,vg-review / vg-arena (Adversarial Multi-Model PR Adjudicator),vanguard/packages/agency/spawn.py,PLANNED,"Zero-trust PR review: Competing reviewer personas (Security, Performance, Style) in multi-agent debate",Quality Gate: Pre-merge PR risk assessment,Consensus verdict with Ed25519 signed approval or blocking security defects
CLI_Products,CLI-06,vg-tutor (Evidence-Graph Codebase Guide),vanguard/packages/packs/tutor,IMPLEMENTED,Developer onboarding: AST PageRank traversal -> Dynamic call-chain graph -> Socratic explanations with proofs,Read-Only: Code comprehension and architecture tour,Interactive walkthrough linking explanations directly to verified source lines
CLI_Products,CLI-07,vg-research (Bounded Technical RFC & Web Corroborator),vanguard/packages/packs/research,IMPLEMENTED,Technical research: Egress-controlled search -> SSRF-safe markdown fetch -> Triangulated source synthesis -> RFC,Knowledge: Architectural trade-off analysis,Structured RFC artifact with content-addressed citation digests
CLI_Products,CLI-08,vg-rlvr (Verifiable Trajectory & Dataset Generator),vanguard/packages/domain/evidence/,PLANNED,"RL dataset mining: Autonomous solve -> Formal test pass & mutation filter -> Export (S, A, R, T) dataset",AI Training: High-quality reasoning traces,"Clean, verifiable trajectory datasets for LLM fine-tuning and RLVR"
Execution_Waves,WAV-00,Wave H0 / W-092-0: Git Exact Subject & Instrument Validity,Dev A: FIN-A1 / Dev B: FIN-B1,IN_PROGRESS,Reconcile exact subject c14be3c...; ban synthetic dry-run promotion; fix M-8 runner; normalize provider path,Entry: Unresolved status conflicts | Exit: Reconciled Git truth,Deterministic dry-run has zero synthetic lift/promotion; full suite passing
Execution_Waves,WAV-01,Wave H1 / W-092-1: Harness Product Rescue & 10-Task Canary,Dev A: FIN-A2 / Dev B: FIN-B2,BLOCKED (Awaiting H0),"10 valid executable tasks, max_attempts=1, official provider/adapter path, external evaluator verification","Entry: H0 accepted | Exit: >=8/10 patches, >=6/10 external passes","10/10 trajectories, 0 DATASET_INVALID, full telemetry (tokens, cost, latency)"
Execution_Waves,WAV-02,Wave H2 / W-092-2: Official SWE Baseline & Beta Operations,Dev A: FIN-A3 / Dev B: FIN-B3,PLANNED,"Official SWE-bench dataset integration; clean install outside checkout; restart/resume, health, CLI/daemon",Entry: H1 accepted | Exit: Official SWE baseline recomputed,Installable beta qualified; predictions in official schema; independent re-eval
Execution_Waves,WAV-03,"Wave H3 / W-092-3: Ablations, Hardening & Context Optimization",Dev A: SWE-A1 / Dev B: SWE-B2,PLANNED,1 hypothesis per commit; preregistered lift threshold (0.05); strict rollback of negative treatments,Entry: H2 baseline frozen | Exit: Statistically significant lift,Ablation matrix receipts; TCB budget preserved <=1438 LOC; no score regressions
Execution_Waves,WAV-04,Wave H4 / W-092-5: Release Qualification & Final Verification,Dev A: FIN-A4 / Dev B: SWE-B3,PLANNED,"Fault, security, performance, soak testing; reproducible release artifact; Ed25519 envelope + Git receipt",Entry: H3 treatments accepted | Exit: Independent audit PASS,"Full test suite (2348+ tests), linters, boundaries, and strict verify all green"
Error_Taxonomy,ERR-01,ERR_SYNTAX_PREFLIGHT,vanguard/packages/adapters/bindings/code.py,IN_PROGRESS,Patch violates target language AST syntax (syntax/indentation error),In-process AST parse gate (<0.2ms),Return exact line syntax error to model immediately without consuming turn
Error_Taxonomy,ERR-02,ERR_MUTATION_COLLUSION,vanguard/packages/adapters/evaluators/,PLANNED,Test suite passes on intentionally broken AST mutant (ungrounded tests),AST mutation injector probe,Reject candidate test suite; demand assertion of actual behavioral delta
Error_Taxonomy,ERR-03,ERR_THRASHING_LOOP,vanguard/packages/agency/episode/protocol_recovery.py,IN_PROGRESS,Repeated identical tool call on unchanging workspace state,"State-hash FSM H(tool, args, state)",Escalate turn to REPLAN with explicit dead-ends history and prompt feedback
Error_Taxonomy,ERR-04,ERR_PREFIX_INVALIDATED,vanguard/packages/agency/context/compiler.py,IMPLEMENTED,L1-L3 system instructions modified mid-session,Context compiler digest probe,Force prefix freeze; divert dynamic additions strictly to L4/L5
Error_Taxonomy,ERR-05,ERR_BUDGET_OVERRUN,vanguard/packages/kernel/budget.py,IMPLEMENTED,"Single turn or subagent exceeds token, USD, or turn reservation",Kernel S7 Typed Budget Governor,Fail closed; release budget lease; emit partial diagnostic receipt to ledger
Error_Taxonomy,ERR-06,ERR_SSRF_NETWORK,vanguard/packages/adapters/environment/,IMPLEMENTED,"Outbound web fetch targets private, loopback, or cloud metadata IP",Web adapter network policy filter,Terminate request immediately; record security violation in event ledger
Error_Taxonomy,ERR-07,ERR_VERIFICATION_STALE,vanguard/packages/agency/episode/admission_gate.py,IMPLEMENTED,Verification receipt digest does not match current workspace state digest,AdmissionGate post-condition check,Reject episode finish; demand fresh execution of verification test suite
Error_Taxonomy,ERR-08,ERR_PROPOSAL_MALFORMED,vanguard/packages/agency/episode/protocol_recovery.py,IMPLEMENTED,"Model response contains invalid JSON, unclosed tags, or mixed prose/toolcall",ProtocolRecoveryPolicy decoders,Apply bounded repair (DSML/JSON); retry model with continuation if truncated
Docs_Roadmap,DOC-00,Pass 0: Clean Baseline Freeze,Repository Root,IMPLEMENTED,Freeze clean documentation hierarchy; tag docs-clean-baseline; remove legacy files,Pre-requisite for all docs tooling,Clean docs/ hierarchy; no redundant candidate folders
Docs_Roadmap,DOC-01,Pass 1: MkDocs + Material + Native Mermaid,mkdocs.yml,IMPLEMENTED,Material for MkDocs with pymdownx.superfences native Mermaid rendering and search,High visual & navigation value,mkdocs build --strict passes; responsive docs site operational
Docs_Roadmap,DOC-02,Pass 2: Frontmatter Schema & Markdown Linters,tools/linters/,IMPLEMENTED,"document.schema.json, markdownlint-cli2, check_markdown_links.py, stale path detector",Anti-sprawl quality gate,"Deterministic pass on all documentation links, schemas, and markdown rules"
Docs_Roadmap,DOC-03,Pass 3: Justfile Developer Surface,justfile,IMPLEMENTED,"Single unified interface: just check, just docs-check, just docs-build, just verify",Ergonomics and CI parity,Standard command surface across local development and CI gates
Docs_Roadmap,DOC-04,Pass 4: Pre-Commit & CI Automation,".github/workflows/, ci/",IMPLEMENTED,Fast local checks in pre-commit; full zero-rebuild and strict validation in CI,Prevents broken documentation commits,Automated GitHub Actions CI validation on pull requests
Docs_Roadmap,DOC-05,Pass 5: Machine Knowledge Base Generation,tools/generate_knowledge_base.py,IMPLEMENTED,"Deterministic extraction of .generated/knowledge/ (catalog, code-map, symbols, ownership)",Machine routing layer,Zero-rebuild reproducibility; 100% path and symbol resolution
Docs_Roadmap,DOC-06,Pass 6: Canonical Mermaid Architecture Workflows,docs/architecture/workflows/,IMPLEMENTED,7 high-value canonical workflow documents with code-verified Mermaid sequence diagrams,Explains architecture visually,"Workflows for agent lifecycle, request execution, delegation, recovery, bootstrap"
Docs_Roadmap,DOC-07,Pass 7: Griffe & mkdocstrings Python API Docs,mkdocs.yml,IN_PROGRESS,Automatic extraction of docstrings and type annotations for ports and public runtime APIs,Maintains API reference freshness,Interactive API documentation generated directly from source code
Docs_Roadmap,DOC-08,Pass 8: AST-Grep Structural Code Intelligence,tools/,PLANNED (P1),"Structural AST search for callers, adapters, deprecated APIs, and usage patterns",P1 code intelligence,Structured code evidence exported to code-map.jsonl
Docs_Roadmap,DOC-09,Pass 9: SCIP Code Intelligence Protocol,tools/,PLANNED (P1),"Language-agnostic indexer generating symbols.jsonl (definitions, references, implementations)",P1 code intelligence,Rich multi-language symbol index for Python and TypeScript
